CRM-P (periodic) Financial Period,Eastern,North West & Central,Scotland's Railway,Southern,Wales & Western,CRM-P (MAA) Financial Period,Eastern,North West & Central,Scotland's Railway,Southern,Wales & Western
2018-19 Period 03,1.52,1.81,1.54,2.45,2.08,2018-19 Period 03,1.37,1.75,1.33,2.87,1.97
2018-19 Period 04,1.86,2.85,2.24,3.56,2.26,2018-19 Period 04,1.43,1.86,1.43,2.97,1.96
2018-19 Period 05,2.3,2.02,1.13,2.78,1.94,2018-19 Period 05,1.53,1.93,1.45,2.95,2.01
2018-19 Period 06,1.42,1.8,0.92,2.22,1.6,2018-19 Period 06,1.56,1.96,1.47,2.89,2
2018-19 Period 07,1.99,2.26,2.18,2.79,2.29,2018-19 Period 07,1.63,2.01,1.54,2.9,2.06
2018-19 Period 08,2,2.21,2.13,3.3,1.85,2018-19 Period 08,1.63,2,1.56,2.89,2.02
2018-19 Period 09,2.15,2.72,1.42,3.72,1.88,2018-19 Period 09,1.67,2.04,1.54,2.92,2
2018-19 Period 10,1.34,1.49,1.05,2.68,1.28,2018-19 Period 10,1.68,1.98,1.48,2.87,1.92
2018-19 Period 11,1.45,1.49,0.97,2.46,1.24,2018-19 Period 11,1.69,1.99,1.44,2.86,1.89
2018-19 Period 12,1.32,1.59,0.94,2.63,1.32,2018-19 Period 12,1.64,1.95,1.37,2.79,1.84
2018-19 Period 13,1.52,1.75,1.17,2.52,1.41,2018-19 Period 13,1.66,1.94,1.36,2.77,1.83
2019-20 Period 01,1.18,1.55,0.89,1.84,1.22,2019-20 Period 01,1.64,1.93,1.35,2.71,1.75
2019-20 Period 02,1.12,1.72,1.18,1.98,1.09,2019-20 Period 02,1.63,1.95,1.36,2.68,1.65
2019-20 Period 03,1.34,1.67,1.2,1.95,1.42,2019-20 Period 03,1.61,1.93,1.33,2.64,1.6
2019-20 Period 04,1.36,1.91,0.95,2.62,1.83,2019-20 Period 04,1.57,1.86,1.23,2.57,1.57
2019-20 Period 05,1.94,3.18,1.24,2.43,1.58,2019-20 Period 05,1.55,1.95,1.24,2.54,1.54
2019-20 Period 06,1.5,1.51,0.89,2.12,1.15,2019-20 Period 06,1.55,1.93,1.24,2.53,1.5
2019-20 Period 07,1.59,2.1,1.19,2.81,1.07,2019-20 Period 07,1.52,1.92,1.17,2.54,1.41
2019-20 Period 08,2.06,2.8,1.41,2.77,1.52,2019-20 Period 08,1.53,1.96,1.12,2.5,1.39
2019-20 Period 09,2.38,2.51,1.5,3.24,1.58,2019-20 Period 09,1.55,1.95,1.12,2.46,1.36
2019-20 Period 10,1.72,1.52,1.54,3.03,2.03,2019-20 Period 10,1.58,1.95,1.16,2.48,1.42
2019-20 Period 11,1.59,1.63,1.32,3.5,1.45,2019-20 Period 11,1.59,1.96,1.18,2.56,1.43
2019-20 Period 12,2,2.27,1.52,3.01,2.77,2019-20 Period 12,1.64,2.01,1.23,2.59,1.55
2019-20 Period 13,1.22,1.99,0.87,2.53,1.34,2019-20 Period 13,1.62,2.03,1.21,2.59,1.54
2020-21 Period 01,0.48,0.74,0.41,0.67,0.56,2020-21 Period 01,1.59,2.01,1.19,2.55,1.51
2020-21 Period 02,0.8,0.82,0.72,0.86,0.78,2020-21 Period 02,1.59,1.98,1.18,2.51,1.51
2020-21 Period 03,0.79,0.75,0.57,0.9,0.84,2020-21 Period 03,1.56,1.94,1.14,2.45,1.48
2020-21 Period 04,0.8,0.75,0.55,0.99,0.66,2020-21 Period 04,1.53,1.86,1.13,2.33,1.4
2020-21 Period 05,1.1,1.22,1.12,1.44,1.2,2020-21 Period 05,1.46,1.7,1.12,2.26,1.37
2020-21 Period 06,0.94,1.31,0.92,1.8,1.07,2020-21 Period 06,1.42,1.69,1.12,2.23,1.37
2020-21 Period 07,1.14,1.56,1.11,1.65,1.06,2020-21 Period 07,1.38,1.64,1.12,2.13,1.37
2020-21 Period 08,1.35,1.45,1.3,1.93,0.89,2020-21 Period 08,1.32,1.52,1.1,2.06,1.32
2020-21 Period 09,1.14,1.1,1.21,1.52,0.95,2020-21 Period 09,1.21,1.39,1.07,1.91,1.27
2020-21 Period 10,1.05,1.1,1.01,1.69,1.17,2020-21 Period 10,1.15,1.36,1.03,1.82,1.2
2020-21 Period 11,1.22,1.82,0.95,1.73,0.99,2020-21 Period 11,1.12,1.36,0.99,1.66,1.16
2020-21 Period 12,1.14,0.96,1.68,1.51,1.13,2020-21 Period 12,1.04,1.24,0.99,1.52,0.99
2020-21 Period 13,0.83,0.96,0.46,1.2,1.03,2020-21 Period 13,1,1.14,0.96,1.4,0.96
2021-22 Period 01,0.86,1.01,0.83,1.08,0.95,2021-22 Period 01,1.02,1.16,0.98,1.42,0.98
2021-22 Period 02,1,1.34,0.95,1.36,1.35,2021-22 Period 02,1.03,1.19,1,1.45,1.02
2021-22 Period 03,1.13,1.34,0.84,2.12,1.68,2021-22 Period 03,1.06,1.23,1.01,1.55,1.09
2021-22 Period 04,1.33,1.36,1.1,1.82,1.8,2021-22 Period 04,1.1,1.28,1.04,1.61,1.18
